"padacchedah","anvaya","spart"
"(त्वम्) अक्षैः मा क्रीड","(त्वम्) अक्षैः मा क्रीड","अक्षैः मा क्रीड।"
"अतः अहम् तम् अवश्यम् ताडयिष्यामि","अतः अहम् तम् अवश्यम् ताडयिष्यामि","अतः अहं तम् अवश्यं ताडयिष्यामि।"
"अतः लोकः रामे प्रीतिम् अकरोत् .","अतः लोकः रामे प्रीतिम् अकरोत् .","अतः लोकः रामे प्रीतिम् अकरोत्।"
"अतः सर्वदा सः प्रसन्नः भवति .","अतः सर्वदा सः प्रसन्नः भवति .","अतः सर्वदा सः प्रसन्नः भवति।"
"(त्वम्) अ-तिथि-देवः भव","(त्वम्) अ-तिथि-देवः भव","अ-तिथि-देवः भव।"
"अत्ता अन्नम् अत्ति .","अत्ता अन्नम् अत्ति .","अत्ता अन्नम् अत्ति।"
"अत्र जलस्य प्रवाहः अस्ति .","अत्र जलस्य प्रवाहः अस्ति .","अत्र जलस्य प्रवाहः अस्ति।"
"अत्र त्वम् किम्-अर्थम् तिष्ठसि वद","अत्र त्वम् किम्-अर्थम् तिष्ठसि वद","अत्र त्वं किमर्थं तिष्ठसि वद।"
"अत्र दीपः न अस्ति","अत्र दीपः न अस्ति","अत्र दीपः न अस्ति।"
"(त्वम्) अत्र दीपम् पश्य","(त्वम्) अत्र दीपम् पश्य","अत्र दीपं पश्य।"
"अत्र बालकः न अस्ति","अत्र बालकः न अस्ति","अत्र बालकः न अस्ति।"
"अत्र शुद्धम् जलम् अस्ति","अत्र शुद्धम् जलम् अस्ति","अत्र शुद्धं जलम् अस्ति।"
"अत्र स्थित्वा सः किम् कर्तुम् इच्छति","अत्र स्थित्वा सः किम् कर्तुम् इच्छति","अत्र स्थित्वा सः किं कर्तुम् इच्छति।"
"अत्र स्थित्वा सः धर्म-प्रचारम् करिष्यति","अत्र स्थित्वा सः धर्म-प्रचारम् करिष्यति","अत्र स्थित्वा सः धर्मप्रचारं करिष्यति।"
"अत्र स्वादु दुग्धम् अस्ति .","अत्र स्वादु दुग्धम् अस्ति .","अत्र स्वादु दुग्धम् अस्ति।"
"अत्रे अन्नम् देहि .","अत्रे अन्नम् देहि .","अत्रे अन्नं देहि।"
"अथकिम् धूम्र-यानेन अहम् तत्र परश्वः गमिष्यामि","अथकिम् धूम्र-यानेन अहम् तत्र परश्वः गमिष्यामि","अथ किम् धूम्रयानेन अहं तत्र परश्वः गमिष्यामि।"
"अथकिम् सः न केवलम् गृहम् रक्षति","अथकिम् सः न केवलम् गृहम् रक्षति","अथ किम् सः न केवलम् गृहं रक्षति।"
"अद्य (अहम्) अनेन मार्गेण यास्यामि .","अद्य (अहम्) अनेन मार्गेण यास्यामि .","अद्य अनेन मार्गेण यास्यामि।"
"अद्य अहम् पाठशालाम् न गच्छामि .","अद्य अहम् पाठशालाम् न गच्छामि .","अद्य अहं पाठशालां न गच्छामि।"
"अद्य किम् अस्ति .","अद्य किम् अस्ति .","अद्य किम् अस्ति।"
"अद्य मम पिता गृहम् आगमिष्यति .","अद्य मम पिता गृहम् आगमिष्यति .","अद्य मम पिता गृहम् आगमिष्यति।"
"अद्य श्वः च मम मित्रस्य निवासः अमृतसर-नगरे अस्ति","अद्य श्वः च मम मित्रस्य निवासः अमृतसर-नगरे अस्ति","अद्य श्वः च मम मित्रस्य निवासः अमृतसर-नगरे अस्ति"
"अधुना आपणम् गत्वा त्वम् किम् क्रीणासि","अधुना आपणम् गत्वा त्वम् किम् क्रीणासि","अधुना आपणं गत्वा त्वं किं क्रीणासि।"
"अधुना बुभुक्षा न अस्ति .","अधुना बुभुक्षा न अस्ति .","अधुना बुभुक्षा न अस्ति।"
"(त्वम्) अध्यापकस्य समीपम् सत्वरम् गच्छ .","(त्वम्) अध्यापकस्य समीपम् सत्वरम् गच्छ .","अध्यापकस्य समीपं सत्वरं गच्छ।"
"(त्वम्) अध्येत्रे पुस्तकम् देहि","(त्वम्) अध्येत्रे पुस्तकम् देहि","अध्येत्रे पुस्तकं देहि।"
"अन्तरिक्षे सूर्यम् पश्यसि किम्","अन्तरिक्षे सूर्यम् पश्यसि किम्","अन्तरिक्षे सूर्यं पश्यसि किम्।"
"अन्नम् कदापि नैव भक्षयामि","अन्नम् कदापि नैव भक्षयामि","अन्नं कदापि नैव भक्षयामि।"
"(त्वम्) अन्नम् न देहि","(त्वम्) अन्नम् न देहि","अन्नं न देहि।"
"अन्नम् न अस्ति","अन्नम् न अस्ति","अन्नं न अस्ति।"
"(त्वम्) अन्नम् आनय .","(त्वम्) अन्नम् आनय .","अन्नम् आनय।"
"अन्नस्य संस्कर्ता मम गृहे अन्नम् संस्करोति .","अन्नस्य संस्कर्ता मम गृहे अन्नम् संस्करोति .","अन्नस्य संस्कर्ता मम गृहे अन्नं संस्करोति।"
"(त्वम्) अन्यत् पुस्तकम् आनय","(त्वम्) अन्यत् पुस्तकम् आनय","अन्यत् पुस्तकम् आनय।"
"(त्वम्) अन्यत् वस्त्रम् देहि","(त्वम्) अन्यत् वस्त्रम् देहि","अन्यत् वस्त्रं देहि।"
"अयं तस्य पेटकः अस्ति न","अयं तस्य पेटकः अस्ति न","अयं तस्य पेटकः न अस्ति।"
"अयम् पाचकः अस्ति","अयम् पाचकः अस्ति","अयं पाचकः अस्ति।"
"अरब-देशात् अश्वः आगच्छति .","अरब-देशात् अश्वः आगच्छति .","अरब-देशात् अश्वः आगच्छति।"
"अर्भकः रथम् पश्यति .","अर्भकः रथम् पश्यति .","अर्भकः रथं पश्यति।"
"अश्वः धावति .","अश्वः धावति .","अश्वः धावति।"
"अश्वः शीघ्रम् धावति","अश्वः शीघ्रम् धावति","अश्वः शीघ्रं धावति।"
"अश्वस्य चोरयिता नगरे अस्ति","अश्वस्य चोरयिता नगरे अस्ति","अश्वस्य चोरयिता नगरे अस्ति।"
"(त्वम्) अश्वस्य पालनम् कुरु .","(त्वम्) अश्वस्य पालनम् कुरु .","अश्वस्य पालनं कुरु।"
"(त्वम्) अश्वाय जलम् देहि","(त्वम्) अश्वाय जलम् देहि","अश्वाय जलं देहि।"
"असत्यात् दारिद्र्यम् वरम् अस्ति .","असत्यात् दारिद्र्यम् वरम् अस्ति .","असत्यात् दारिद्र्यं वरम् अस्ति।"
"कः अपि अधर्मः असत्यात् परः न अस्ति .","कः अपि अधर्मः असत्यात् परः न अस्ति .","असत्यात् परः अधर्मः न कः अपि अस्ति।"
"कः तत्र अस्ति","कः तत्र अस्ति","कः तत्र अस्ति ।"
"अस्य लेखनी कुत्र अस्ति .","अस्य लेखनी कुत्र अस्ति .","अस्य लेखनी कुत्र अस्ति।"
"अहम् कदापि उष्णम् जलम् पातुम् न इच्छामि .","अहम् कदापि उष्णम् जलम् पातुम् न इच्छामि .","अहं कदापि उष्णं जलं पातुं न इच्छामि।"
"अहम् कदापि असत्यम् नैव वदामि .","अहम् कदापि असत्यम् नैव वदामि .","अहं कदापि असत्यं नैव वदामि।"
"अहं कर्णाभ्यां तव अतीव मधुरं भाषणं शृणोमि .","अहं कर्णाभ्यां तव अतीव मधुरं भाषणं शृणोमि .","अहं कर्णाभ्यां तव अतीव मधुरं भाषणं शृणोमि।"
"अहम् कूपम् गत्वा स्नानम् कर्तुम् इच्छामि .","अहम् कूपम् गत्वा स्नानम् कर्तुम् इच्छामि .","अहं कूपं गत्वा स्नानं कर्तुम् इच्छामि।"
"अहं गृहं गच्छामि .","अहं गृहं गच्छामि .","अहं गृहं गच्छामि।"
"अहम् गृहम् न गच्छामि","अहम् गृहम् न गच्छामि","अहं गृहं न गच्छामि।"
"अहं जलं पीत्वा रात्रौ उपरि गमिष्यामि","अहं जलं पीत्वा रात्रौ उपरि गमिष्यामि","अहं जलं पीत्वा रात्रौ उपरि गमिष्यामि।"
"अहम् जलम् आनयामि .","अहम् जलम् आनयामि .","अहं जलम् आनयामि।"
"अहं तं दृष्ट्वा हसामि .","अहं तं दृष्ट्वा हसामि .","अहं तं दृष्ट्वा हसामि।"
"अहम् तम् स्व-गृहम् नयामि","अहम् तम् स्व-गृहम् नयामि","अहं तं स्व-गृहं नयामि।"
"अहं तत्र गमिष्यामि .","अहं तत्र गमिष्यामि ."," अहं तत्र गमिष्यामि।"
"अहम् तत्र न गच्छामि .","अहम् तत्र न गच्छामि .","अहं तत्र न गच्छामि।"
