"padacchedah","anvaya","spart"
"राग-आदि-रोगान् सतत-अनुषक्तान् अ-शेष-काय-प्रसृतान् अ-शेषान् औत्सुक्य-मोह-अ-रति-दान् जघान यः .; अ-पूर्व-वैद्याय नमः अस्तु तस्मै .","यः सतत-अनुषक्तान् अ-शेष-काय-प्रसृतान् अ-शेषान् औत्सुक्य-मोह-अ-रति-दान् राग-आदि-रोगान् जघान .; तस्मै अ-पूर्व-वैद्याय नमः अस्तु ."," रागादिरोगान् सततानुषक्तानशेषकायप्रसृतानशेषान्।# औत्सुक्यमोहारतिदाञ्जघान योऽपूर्ववैद्याय नमोस्तु तस्मै॥१॥"
"अथ अतः आयुष्कामीयम् अध्यायम् व्याख्यास्यामः .","अथ अतः आयुष्कामीयम् अध्यायम् व्याख्यास्यामः ."," अथात आयुष्कामीयमध्यायं व्याख्यास्यामः।"
"इति ह स्म आहुः आत्रेय-आदयः महा-ऋषयः .","महा-ऋषयः आत्रेय-आदयः इति ह आहुः स्म ."," इति ह स्माहुरात्रेयादयो महर्षयः।"
"आयुः कामयमानेन धर्म-अर्थ-सुख-साधनम् आयुः-वेद-उपदेशेषु विधेयः परम-आदरः .","धर्म-अर्थ-सुख-साधनम् आयुः कामयमानेन आयुः-वेद-उपदेशेषु परम-आदरः विधेयः ."," आयुःकामयमानेन धर्मार्थसुखसाधनम्।# आयुर्वेदोपदेशेषु विधेयः परमादरः॥२॥"
"ब्रह्मा स्मृत्वा आयुषः वेदम् प्रजापतिम् अजिग्रहत् .; सः अश्विनौ (अजिग्रहत्) .; तौ सहस्र-अक्षम् (अजिग्रहताम्) .; सः अत्रि-पुत्र-आदिकान् मुनीन् (अजिग्रहत्) .; ते अग्निवेश-आदिकान् (अजिग्रहन्) .; ते तु पृथक् तन्त्राणि तेनिरे .","ब्रह्मा आयुषः वेदम् स्मृत्वा प्रजापतिम् अजिग्रहत् .; सः अश्विनौ (अजिग्रहत्) .; तौ सहस्र-अक्षम् (अजिग्रहताम्) .; सः अत्रि-पुत्र-आदिकान् मुनीन् (अजिग्रहत्) .; ते अग्निवेश-आदिकान् (अजिग्रहन्) .; ते तु पृथक् तन्त्राणि तेनिरे ."," ब्रह्मा स्मृत्वाऽऽयुषो वेदं प्रजापतिमजिग्रहत्।# सोऽश्विनौ तौ सहस्राक्षं सोऽत्रिपुत्रादिकान्मुनीन्॥३॥# तेऽग्निवेशादिकांस्ते तु पृथक् तन्त्राणि तेनिरे।"
"तेभ्यः अति-विप्रकीर्णेभ्यः प्रायः सारतर-उच्चयः क्रियते .; अष्ट-अङ्ग-हृदयम् न-अति-सङ्क्षेप-विस्तरम् (क्रियते) .","तेभ्यः अति-विप्रकीर्णेभ्यः प्रायः सारतर-उच्चयः क्रियते .; न-अति-सङ्क्षेप-विस्तरम् अष्ट-अङ्ग-हृदयम् (क्रियते) ."," तेभ्योऽतिविप्रकीर्णेभ्यः प्रायः सारतरोच्चयः॥४॥# क्रियतेऽष्टाङ्गहृदयं नातिसंक्षेपविस्तरम्।"
"काय-बाल-ग्रह-ऊर्ध्व-अङ्ग-शल्य-दंष्ट्रा-जरा-वृषान् अष्टौ अङ्गानि तस्य आहुः .; चिकित्सा येषु संश्रिता .","काय-बाल-ग्रह-ऊर्ध्व-अङ्ग-शल्य-दंष्ट्रा-जरा-वृषान् तस्य अष्टौ अङ्गानि आहुः .; चिकित्सा येषु संश्रिता ."," कायबालग्रहोर्ध्वाङ्गशल्यदंष्ट्राजरावृषान्॥५॥# अष्टावङ्गानि तस्याहुश्चिकित्सा येषु संश्रिता।"
"वायुः पित्तम् कफः च इति त्रयः दोषाः समासतः (सन्ति) .","वायुः पित्तम् कफः च इति समासतः त्रयः दोषाः (सन्ति) ."," वायुः पित्तं कफश्चेति त्रयो दोषाः समासतः॥६॥"
"विकृत-अ-विकृताः देहम् घ्नन्ति ते वर्तयन्ति च .","ते विकृत-अ-विकृताः देहम् घ्नन्ति वर्तयन्ति च ."," विकृताविकृता देहं घ्नन्ति ते वर्तयन्ति च।"
"ते व्यापिनः अपि हृत्-नाभ्योः अधो-मध्य-ऊर्ध्व-संश्रयाः (भवन्ति) .","ते व्यापिनः अपि हृत्-नाभ्योः अधो-मध्य-ऊर्ध्व-संश्रयाः (भवन्ति) .","ते व्यापिनोऽपि हृन्नाभ्योरधोमध्योर्ध्वसंश्रयाः॥७॥"
