"padacchedah","anvaya","spart"
"वाक्-अर्थौ-इव सम्पृक्तौ वाक्-अर्थ-प्रतिपत्तये जगतः पितरौ वन्दे पार्वती-परम-ईश्वरौ (अहम्)","(अहम्) वाक्-अर्थौ-इव सम्पृक्तौ जगतः पितरौ पार्वती-परम-ईश्वरौ वाक्-अर्थ-प्रतिपत्तये वन्दे"," वागर्थाविव संपृक्तौ वागर्थप्रतिपत्तये।# जगतः पितरौ वन्दे पार्वतीपरमेश्वरौ।।"
"क्व सूर्य-प्रभवः वंशः (अस्ति) च क्व अल्प-विषया (मम) मतिः (अस्ति); तितीर्षुः दुः-तरं मोहात् उडुपेन अस्मि सागरम् (अहम्)","सूर्य-प्रभवः वंशः क्व (अस्ति) अल्प-विषया (मम) मतिः च क्व (अस्ति); (अहम्) मोहात् उडुपेन दुः-तरं सागरम् तितीर्षुः अस्मि"," क्व सूर्यप्रभवो वंशः क्व चाल्पविषया मतिः।# तितीर्षुर्दुस्तरं मोहादुडुपेनास्मि सागरम्।।"
"मन्दः कवि-यश-प्रार्थी गमिष्यामि उपहास्यताम् प्रांशु-लभ्ये फले लोभात् उद्बाहुः वामनः-इव (अहम्)","प्रांशु-लभ्ये फले लोभात् कवि-यश-प्रार्थी मन्दः (अहम्) उद्बाहुः वामनः-इव उपहास्यताम् गमिष्यामि"," मन्दः कवियशःप्रार्थी गमिष्याम्युपहास्यताम्।# प्रांशुलभ्ये फले लोभादुद्बाहुरिव वामनः।।"
"अथवा पूर्व-सूरिभिः कृत-वाक्-द्वारे अस्मिन् वंशे वज्र-समुत्कीर्णे मणौ सूत्रस्य-इव मे गतिः अस्ति","अथवा पूर्व-सूरिभिः कृत-वाक्-द्वारे अस्मिन् वंशे वज्र-समुत्कीर्णे मणौ सूत्रस्य-इव मे गतिः अस्ति"," अथवा कृतवाग्द्वारे वंशेऽस्मिन्पूर्वसूरिभिः।# मणौ वज्रसमुत्कीर्णे सूत्रस्येवास्ति मे गतिः।।"
"सः अहम् आ-फल-उदय-कर्मणाम् आ-समुद्र-क्षिति-ईशानाम् आ-जन्म-शुद्धानाम् आ-नाक-रथ-वर्त्मनाम् (वक्ष्ये) (रघूणाम्) (अन्वयं)","सः अहम् आ-जन्म-शुद्धानाम् आ-फल-उदय-कर्मणाम् आ-समुद्र-क्षिति-ईशानाम् आ-नाक-रथ-वर्त्मनाम् (रघूणाम्) (अन्वयं) (वक्ष्ये)"," सोऽहमाजन्मशुद्धानामाफलोदयकर्मणाम्।# आसमुद्रक्षितीशानामानाकरथवर्त्मनाम्।।"
"(अहम्) यथा-विधि-हुताग्नीनाम् यथा-काम-अर्चितार्थिनाम् यथा-अपराध-दण्डानाम् यथा-काल-प्रबोधिनाम् (रघूणाम्) (अन्वयं) (वक्ष्ये)","(अहम्) यथा-विधि-हुताग्नीनाम् यथा-काम-अर्चितार्थिनाम् यथा-अपराध-दण्डानाम् यथा-काल-प्रबोधिनाम् (रघूणाम्) (अन्वयं) (वक्ष्ये)"," यथाविधिहुताग्नीनां यथाकामार्चितार्थिनाम्।# यथापराधदण्डानां यथाकालप्रबोधिनाम्।।"
"(अहम्) यशसे विजिगीषूणाम् प्रजायै गृह-मेधिनाम् (रघूणाम्) (अन्वयम्) सम्भृत-अर्थानाम् त्यागाय सत्याय मित-भाषिणाम् (वक्ष्ये)","(अहम्) त्यागाय सम्भृत-अर्थानाम् सत्याय मित-भाषिणाम् यशसे विजिगीषूणाम् प्रजायै गृह-मेधिनाम् (रघूणाम्) (अन्वयम्) (वक्ष्ये)"," त्यागाय संभृतार्थानां सत्याय मितभाषिणाम्।# यशसे विजिगीषूणां प्रजायै गृहमेधिनाम्।।"
"(अहं) शैशवे अभ्यस्त-विद्यानाम् यौवने विषय-एषिणाम् वार्द्धके मुनि-वृत्तीनां अन्ते योगेन तनु-त्यजाम् (रघूणाम्) (अन्वयं) (वक्ष्ये)","(अहं) शैशवे अभ्यस्त-विद्यानाम् यौवने विषय-एषिणाम् वार्द्धके मुनि-वृत्तीनां अन्ते योगेन तनु-त्यजाम् (रघूणाम्) (अन्वयं) (वक्ष्ये)"," शैशवेऽभ्यस्तविद्यानां यौवने विषयैषिणाम्।# वार्द्धके मुनिवृत्तीनां योगेनान्ते तनुत्यजाम्।।"
"तनु-वाक्-विभवः सन् अपि तद्-गुणैः कर्णम् आगत्य चापलाय प्रचोदितः (अहम्) रघूणाम् अन्वयं वक्ष्ये सन्","(अहम्) तनु-वाक्-विभवः अपि सन् तद्-गुणैः कर्णम् आगत्य चापलाय प्रचोदितः सन् रघूणाम् अन्वयं वक्ष्ये"," रघूणामन्वयं वक्ष्ये तनुवाग्विभवोऽपि सन्।# तद्गुणैः कर्णमागत्य चापलाय प्रचोदितः।।"
"सत्-असत्-व्यक्ति-हेतवः सन्तः तम् श्रोतुम् अर्हन्ति; हि हेम्नः विशुद्धिः वा श्यामिका अपि अग्नौ संलक्ष्यते","सत्-असत्-व्यक्ति-हेतवः सन्तः तम् श्रोतुम् अर्हन्ति; हि हेम्नः विशुद्धिः वा श्यामिका अपि अग्नौ संलक्ष्यते"," तं सन्तः श्रोतुमर्हन्ति सदसद्व्यक्तिहेतवः।# हेम्नः संलक्ष्यते ह्यग्नौ विशुद्धिः श्यामिकाऽपि वा।।"
