"padacchedah","anvaya","spart"
"धर्म-क्षेत्रे कुरु-क्षेत्रे समवेताः युयुत्सवः मामकाः पाण्डवाः च एव किम् अकुर्वत सञ्जय","सञ्जय धर्म-क्षेत्रे कुरु-क्षेत्रे समवेताः युयुत्सवः मामकाः पाण्डवाः च एव किम् अकुर्वत"," धर्मक्षेत्रे कुरुक्षेत्रे समवेता युयुत्सवः।# मामकाः पाण्डवाश्चैव किमकुर्वत सञ्जय॥1॥"
"दृष्ट्वा तु पाण्डव-अनीकम् व्यूढम् दुर्योधनः तदा आचार्यम् उपसङ्गम्य राजा वचनम् अब्रवीत्","तदा तु व्यूढम् पाण्डव-अनीकम् दृष्ट्वा राजा दुर्योधनः आचार्यम् उपसङ्गम्य वचनम् अब्रवीत्"," दृष्ट्वा तु पाण्डवानीकं व्यूढं दुर्योधनस्तदा।# आचार्यमुपसङ्गम्य राजा वचनमब्रवीत्॥2॥"
"पश्य एताम् पाण्डु-पुत्राणाम् आचार्य महतीम् चमूम् व्यूढाम् द्रुपद-पुत्रेण तव शिष्येण धीमता (त्वम्)","आचार्य तव धीमता शिष्येण द्रुपद-पुत्रेण व्यूढाम् पाण्डु-पुत्राणाम् एताम् महतीम् चमूम् (त्वम्) पश्य"," पश्यैतां पाण्डुपुत्राणामाचार्य महतीं चमूम्।# व्यूढां द्रुपदपुत्रेण तव शिष्येण धीमता॥3॥"
"अत्र शूराः महा-इष्वासाः भीम-अर्जुन-समाः युधि युयुधानः विराटः च द्रुपदः च महान्-रथः धृष्टकेतुः चेकितानः काशिराजः च वीर्यवान् पुरुजित् कुन्तिभोजः च शैब्यः च नर-पुङ्गवः युधामन्युः च विक्रान्तः उत्तमौजाः च वीर्यवान् सौभद्रः द्रौपदेयाः च सर्वे एव महान्-रथाः (सन्ति)","अत्र युधि युयुधानः विराटः महान्-रथः च द्रुपदः धृष्टकेतुः चेकितानः वीर्यवान् काशिराजः पुरुजित् कुन्तिभोजः नर-पुङ्गवः च शैब्यः विक्रान्तः च युधामन्युः वीर्यवान् च उत्तमौजाः च सौभद्रः च द्रौपदेयाः च भीम-अर्जुन-समाः शूराः च सर्वे एव महा-इष्वासाः महान्-रथाः (सन्ति)"," अत्र शूरा महेष्वासा भीमार्जुनसमा युधि। युयुधानो विराटश्च द्रुपदश्च महारथः॥4॥# धृष्टकेतुश्चेकितानः काशिराजश्च वीर्यवान्। पुरुजित्कुन्तिभोजश्च शैब्यश्च नरपुङ्गवः॥5॥# युधामन्युश्च विक्रान्त उत्तमौजाश्च वीर्यवान्। सौभद्रो द्रौपदेयाश्च सर्व एव महारथाः॥6॥"
"अस्माकम् तु विशिष्टाः ये (सन्ति) तान् निबोध (त्वम्) द्विज-उत्तम; नायकाः मम सैन्यस्य (सन्ति) (ये) सञ्ज्ञा-अर्थम् तान् ब्रवीमि ते (अहम्)","द्विज-उत्तम अस्माकम् तु ये विशिष्टाः (सन्ति) तान् (त्वम्) निबोध; मम सैन्यस्य (ये) नायकाः (सन्ति) तान् (अहम्) ते सञ्ज्ञा-अर्थम् ब्रवीमि"," अस्माकं तु विशिष्टा ये तान्निबोध द्विजोत्तम।# नायका मम सैन्यस्य संज्ञार्थं तान्ब्रवीमि ते॥7॥"
"भवान् भीष्मः च कर्णः च कृपः च समितिञ्जयः अश्वत्थामा विकर्णः च सौमदत्तिः तथा एव च (अस्ति)","भवान् भीष्मः च कर्णः च समितिञ्जयः च कृपः अश्वत्थामा विकर्णः च तथा एव सौमदत्तिः च (अस्ति)"," भवान्भीष्मश्च कर्णश्च कृपश्च समितिञ्जयः।# अश्वत्थामा विकर्णश्च सौमदत्तिस्तथैव च॥8॥"
"अन्ये च बहवः शूराः मत्-अर्थे त्यक्तजीविताः नाना-शस्त्र-प्रहरणाः सर्वे युद्ध-विशारदाः (सन्ति)","नाना-शस्त्र-प्रहरणाः शूराः सर्वे युद्ध-विशारदाः अन्ये च बहवः मत्-अर्थे त्यक्तजीविताः (सन्ति)"," अन्ये च बहवः शूरा मदर्थे त्यक्तजीविताः।# नानाशस्त्रप्रहरणाः सर्वे युद्धविशारदाः॥9॥"
"अ-पर्याप्तम् तत् अस्माकम् बलम् भीष्म-अभिरक्षितम् (अस्ति) पर्याप्तम् तु इदम् एतेषाम् बलम् भीम-अभिरक्षितम् (अस्ति)","भीष्म-अभिरक्षितम् अस्माकम् तत् बलम् अ-पर्याप्तम् (अस्ति) इदम् तु एतेषाम् भीम-अभिरक्षितम् बलम् पर्याप्तम् (अस्ति)"," अपर्याप्तं तदस्माकं बलं भीष्माभिरक्षितम्।# पर्याप्तं त्विदमेतेषां बलं भीमाभिरक्षितम्॥10॥"
"अयनेषु च सर्वेषु यथा-भागम् अवस्थिताः भीष्मम् एव अभिरक्षन्तु भवन्तः सर्वे एव हि","सर्वेषु अयनेषु च यथा-भागम् अवस्थिताः भवन्तः सर्वे एव हि भीष्मम् एव अभिरक्षन्तु"," अयनेषु च सर्वेषु यथाभागमवस्थिताः।# भीष्ममेवाभिरक्षन्तु भवन्तः सर्व एव हि॥11॥"
"तस्य सञ्जनयन् हर्षं कुरु-वृद्धः पितामहः सिंहनादं विनद्य उच्चैः शङ्खं दध्मौ प्रतापवान्","प्रतापवान् कुरु-वृद्धः पितामहः तस्य हर्षं सञ्जनयन् सिंहनादं विनद्य उच्चैः शङ्खं दध्मौ"," तस्य संजनयन्हर्षं कुरुवृद्धः पितामहः।# सिंहनादं विनद्योच्चैः शङ्खं दध्मौ प्रतापवान्॥12॥"
"ततः शङ्खाः च भेर्यः च पणव-आनक-गोमुखाः सहसा एव अभ्यहन्यन्त सः शब्दः तुमुलः अभवत्","ततः शङ्खाः च भेर्यः च पणव-आनक-गोमुखाः सहसा एव अभ्यहन्यन्त सः शब्दः तुमुलः अभवत्"," ततः शङ्खाश्च भेर्यश्च पणवानकगोमुखाः।# सहसैवाभ्यहन्यन्त स शब्दस्तुमुलोऽभवत्॥13॥"
"ततः श्वेतैः हयैः युक्ते महति स्यन्दने स्थितौ माधवः पाण्डवः च एव दिव्यौ शङ्खौ प्रदध्मतुः","ततः माधवः पाण्डवः च श्वेतैः हयैः युक्ते महति स्यन्दने स्थितौ एव दिव्यौ शङ्खौ प्रदध्मतुः"," ततः श्वेतैर्हयैर्युक्ते महति स्यन्दने स्थितौ।# माधवः पाण्डवश्चैव दिव्यौ शङ्खौ प्रदध्मतुः॥14॥"
